id,circ_lib,creator,call_number,editor,create_date,edit_date,copy_number,status,location,loan_duration,fine_level,age_protect,circulate,deposit,ref,holdable,deposit_amount,price,barcode,circ_modifier,circ_as_type,dummy_title,dummy_author,alert_message,opac_visible,deleted,floating,dummy_isbn,status_changed_time,mint_condition,cost,active_date,egid,hseq,l_price,l_call_num,l_barcode,l_location,l_create_date
126185,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,177834,27703,"","","","",""
126195,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,177845,27713,"","","","",""
128848,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,180550,30366,"","","","",""
132620,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184371,34138,"","","","",""
130612,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,182338,32130,"","","","",""
131613,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,183355,33131,"","","","",""
132198,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,183945,33716,"","","","",""
132283,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184030,33801,"","","","",""
132307,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184054,33825,"","","","",""
132308,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184055,33826,"","","","",""
132316,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184064,33834,"","","","",""
132319,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184067,33837,"","","","",""
132320,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184068,33838,"","","","",""
132321,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184069,33839,"","","","",""
